year,total_population,J_pod,K_pod,L_pod,births,deaths,source
1975,72,15,16,41,NA,NA,CWR
1976,71,16,15,40,1,0,CWR
1977,80,18,16,46,9,-1,CWR
1978,80,18,16,46,1,-1,CWR
1979,82,19,16,47,3,-1,CWR
1980,84,19,16,49,3,-3,CWR
1981,82,19,16,47,1,-4,CWR
1982,79,19,15,45,1,-3,CWR
1983,76,19,14,43,0,-5,CWR
1984,74,17,14,43,3,-2,CWR
1985,77,18,14,45,5,-3,CWR
1986,81,17,16,48,7,-1,CWR
1987,84,18,17,49,4,-1,CWR
1988,85,19,18,48,2,-2,CWR
1989,85,18,17,50,2,-3,CWR
1990,88,18,17,53,6,-1,CWR
1991,92,20,17,55,5,-2,CWR
1992,91,19,16,56,1,0,CWR
1993,97,21,17,59,6,-3,CWR
1994,96,20,19,57,2,-4,CWR
1995,98,22,18,58,6,-6,CWR
1996,97,22,19,56,5,-5,CWR
1997,92,21,19,52,0,-5,CWR
1998,89,22,18,49,2,-7,CWR
1999,85,20,17,48,4,-4,CWR
2000,82,19,16,47,2,-7,CWR
2001,78,20,17,41,4,0,CWR
2002,79,20,18,41,3,-4,CWR
2003,82,22,19,41,5,0,CWR
2004,83,22,20,41,4,-1,CWR
2005,88,23,21,44,3,-3,CWR
2006,89,24,21,44,3,-7,CWR
2007,86,25,19,42,4,-1,CWR
2008,85,25,19,41,2,-7,CWR
2009,85,26,19,40,5,-1,CWR
2010,86,28,19,39,6,-6,CWR
2011,87,26,19,42,3,-1,CWR
2012,84,25,19,40,2,-7,CWR
2013,82,26,19,37,0,-3,CWR
2014,78,25,19,34,2,-4,CWR
2015,81,27,19,35,7,-1,CWR
2016,83,29,19,35,1,-7,CWR
2017,77,24,18,35,0,-2,CWR
2018,75,23,18,34,1,-2,CWR
2019,73,22,17,34,1,-4,CWR
2020,72,22,17,33,2,0,CWR
2021,74,24,17,33,1,-2,CWR
2022,73,25,16,32,2,-3,CWR
2023,74,25,15,34,3,-1,CWR
2024,73,25,15,33,NA,NA,CWR
